title,content
زلف و رخسار تو ره بر دل بی‌تاب زنند,"زلف و رخسار تو ره بر دل بی‌تاب زنند
رهزنان قافله را در شب مهتاب زنند
شکوه‌ای نیست ز طوفان حوادث ما را
دل به دریازدگان خنده به سیلاب زنند
جرعه‌نوشان تو ای شاهد علوی چون صبح
باده از ساغر خورشید جهان‌تاب زنند
خاکساران ترا خانه بود بر سر اشک
خس و خاشاک سراپرده به گرداب زنند
گفتم: از بهر چه پویی ره میخانه رهی
گفت: آنجاست که بر آتش غم آب زنند"
ز کینه دور بود سینه‌ای که من دارم,"ز کینه دور بود سینه‌ای که من دارم
غبار نیست بر آیینه‌ای که من دارم
ز چشم پرگهرم اختران عجب دارند
که غافلند ز گنجینه‌ای که من دارم
به هجر و وصل مرا تاب آرمیدن نیست
یکی‌ست شنبه و آدینه‌ای که من دارم
سیاهی از رخ شب می‌رود ولی از دل
نمی‌رود غم دیرینه‌ای که من دارم
تو اهل درد نه‌ای ورنه آتشی جان‌سوز
زبانه می‌کشد از سینه‌ای که من دارم
رهی ز چشمه خورشید تابناک‌تر است
به روشنی دل بی‌کینه‌ای که من دارم"
دور از تو هرشب تا سحر گریان چو شمع محفلم,"دور از تو هرشب تا سحر گریان چو شمع محفلم
تا خود چه باشد حاصلی از گریهٔ بی‌حاصلم؟
چون سایه دور از روی تو افتاده‌ام در کوی تو
چشم امیدم سوی تو وای از امید باطلم
از بس که با جان و دلم ای جان و دل آمیختی
چون نکهت از آغوش گل بوی تو خیزد از گلم
لبریز اشکم جام کو؟ آن آب آتش‌فام کو؟
وآن مایهٔ آرام کو؟ تا چاره سازد مشکلم
در کار عشقم یار دل آگاهم از اسرار دل
غافل نیم از کار دل وز کار دنیا غافلم
در عشق و مستی داده‌ام بود و نبود خویشتن
ای ساقی مستان بگو دیوانه‌ام یا عاقلم
چون اشک می‌لرزد دلم از موج گیسویی رهی
با آن که در طوفان غم دریادلم دریادلم"
وای از این افسردگان فریاد اهل درد کو؟,"وای از این افسردگان فریاد اهل درد کو؟
ناله مستانه دل‌های غم‌پرورد کو؟
ماه مهرآیین که می‌زد باده با رندان کجاست
باد مشکین‌دم که بوی عشق می‌آورد کو؟
در بیابان جنون سرگشته‌ام چون گردباد
همرهی باید مرا مجنون صحراگرد کو؟
بعد مرگم میْ‌کشان گویند در میخانه‌ها
آن سیه‌مستی که خم‌ها را تهی می‌کرد کو؟
پیش امواج حوادث پایداری سهل نیست
مرد باید تا نیندیشد ز طوفان مرد کو؟
دردمندان را دلی چون شمع می‌باید رهی
گر نه‌ای بی‌درد اشک گرم و آه سرد کو؟"
دل زود باورم را به کرشمه‌ای ربودی,"دل زود باورم را به کرشمه‌ای ربودی
چو نیاز ما فزون شد تو به ناز خود فزودی
به هم الفتی گرفتیم ولی رمیدی از ما
من و دل همان که بودیم و تو آن نه‌ای که بودی
من از آن کشم ندامت که تو را نیازمودم
تو چرا ز من گریزی که وفایم آزمودی
ز درون بود خروشم ولی از لب خموشم
نه حکایتی شنیدی نه شکایتی شنودی
چمن از تو خرم ای اشک روان که جویباری
خجل از تو چشمه‌ای چشم رهی که زنده‌رودی"
بر خاطر آزاده غباری ز کسم نیست,"بر خاطر آزاده غباری ز کسم نیست
سرو چمنم شکوه‌ای از خار و خسم نیست
از کوی تو بی‌ناله و فریاد گذشتم
چون قافله عمر نوای جرسم نیست
افسرده‌ترم از نفس باد خزانی
کآن نوگل خندان نفسی هم‌نفسم نیست
صیاد ز پیش آید و گرگ اجل از پی
آن صید ضعیفم که ره پیش و پسم نیست
بی‌حاصلی و خواری من بین که در این باغ
چون خار به دامان گلی دسترسم نیست
از تنگدلی پاس دل تنگ ندارم
چندان کشم اندوه که اندوه کسم نیست
امشب رهی از میکده بیرون ننهم پای
آزرده دردم دو سه پیمانه بسم نیست"
هرشب فزاید تاب و تب من,"هرشب فزاید تاب و تب من
وای از شب من وای از شب من
یا من رسانم لب بر لب او
یا او رساند جان بر لب من
استاد عشقم بنشین و برخوان
درس محبت در مکتب من
رسم دورنگی آیین ما نیست
یکرنگ باشد روز و شب من
گفتم رهی را کامشب چه خواهی؟
گفت آنچه خواهد نوشین‌لب من"
حال تو روشن است دلا از ملال تو,"حال تو روشن است دلا از ملال تو
فریاد از دلی که نسوزد به حال تو
ای نوش‌لب که بوسه به ما کرده‌ای حرام
گر خون ما چو باده بنوشی حلال تو
یاران چو گل به سایه سرو آرمیده‌اند
ما و هوای قامت با اعتدال تو
در چشم کس وجود ضعیفم پدید نیست
باز آ که چون خیال شدم از خیال تو
در کار خود زمانه ز ما ناتوان‌تر است
با ناتوان‌تر از تو چه باشد جدال تو؟
خار زبان‌دراز به گل طعنه می‌زند
در چشم سفله عیب تو باشد کمال تو
ناساز گشت نغمه جان‌پرورت رهی
باید که دست عشق دهد گوشمال تو"
گه شکایت از گلی گه شکوه از خاری کنم,"گه شکایت از گلی گه شکوه از خاری کنم
من نه آن رندم که غیر از عاشقی کاری کنم
هر زمان بی‌روی ماهی همدم آهی شوم
هر نفس با یاد یاری نالهٔ زاری کنم
حلقه‌های موج بینم نقش گیسویی کشم
خنده‌های صبح بینم یاد رخساری کنم
گر سر یاری بود بخت نگونسار مرا
عاشقی‌ها با سر زلف نگونساری کنم
باز نشناسد مرا از سایه چشم رهگذار
تکیه چون از ناتوانی‌ها به دیواری کنم
درد خود را می‌برد از یاد گر من قصه‌ای
از دل سرگشته با صید گرفتاری کنم
نیست با ما لاله و گل را سر الفت رهی
می‌روم تا آشیان در سایهٔ خاری کنم"
من کیستم ز مردم دنیا رمیده‌ای,"من کیستم ز مردم دنیا رمیده‌ای
چون کوهسار پای به دامن کشیده‌ای
از سوز دل چو خرمن آتش گرفته‌ای
وز اشک غم چو کشتی طوفان رسیده‌ای
چون شام بی رخ تو به ماتم نشسته‌ای
چون صبح از غم تو گریبان دریده‌ای
سر کن نوای عشق که از های و هوی عقل
آزرده ام چو گوش نصیحت شنیده‌ای
رفت از قفای او دل از خود رمیده ام
بی تاب تر ز اشک به دامن دویده‌ای
ما را چو گردباد ز راحت نصیب نیست
راحت کجا و خاطر ناآرمیده‌ای
بیچاره‌ای که چاره طلب می کند ز خلق
دارد امید میوه ز شاخ بریده‌ای
از بس که خون فرو چکد از تیغ آسمان
ماند شفق به دامن در خون کشیده‌ای
با جان تابناک ز محنت سرای خاک
رفتیم همچو قطرهٔ اشکی ز دیده‌ای
دردی که بهر جان رهی آفریده‌اند
یا رب مباد قسمت هیچ آفریده‌ای"
بخت نافرجام اگر با عاشقان یاری کند,"بخت نافرجام اگر با عاشقان یاری کند
یار عاشق‌سوز ما ترک دل‌آزاری کند
بر گذرگاهش فرو افتادم از بی‌طاقتی
اشک لرزان کی تواند خویشتن‌داری کند؟
چاره‌ساز اهل دل باشد می اندیشه‌سوز
کو قدح؟ تا فارغم از رنج هوشیاری کند
دام صیاد از چمن دلخواه‌تر باشد مرا
من نه آن مرغم که فریاد از گرفتاری کند
عشق روز افزون من از بی‌وفایی‌های اوست
می‌گریزم گر به من روزی وفاداری کند
گوهر گنجینهٔ عشقیم از روشندلی
بین خوبان کیست تا ما را خریداری کند؟
از دیار خواجه شیراز می‌آید رهی
تا ثنای خواجه عبدالله انصاری کند
می‌رسد با دیده گوهرفشان همچون سحاب
تا بر این خاک عبیرآگین گوهرباری کند"
ستاره شعله‌ای از جان دردمند من است,"ستاره شعله‌ای از جان دردمند من است
سپهر آیتی از همت بلند من است
به چشم اهل نظر صبح روشنم زآن روی
که تازه‌رویی عالم ز نوشخند من است
چگونه راز دلم همچو نی نهان ماند؟
که داغ عشق تو پیدا ز بند بند من است
در آتش از دل آزاده‌ام ولی غم نیست
پسند خاطر آزادگان پسند من است
رهی به مشت غباری چه التفات کنم؟
که آفتاب جهان‌تاب در کمند من است"
چون صبح نودمیده صفا گستر است اشک,"چون صبح نودمیده صفا گستر است اشک
روشن‌تر از ستاره روشنگر است اشک
گوهر اگر ز قطره باران شود پدید
با آفتاب و ماه ز یک گوهر است اشک
با اشک هم اثر نتوان خواند ناله را
غم‌پرور است ناله و جان‌پرور است اشک
بارد ازو لطافت و تابد ازو فروغ
چون گوی سینه بت سیمین‌بر است اشک
خاطر فریب و گرم و دلاویز و تابناک
همرنگ چهره تو پری‌پیکر است اشک
از داغ آتشین‌لب ساغرنواز تو
در جان ماست آتش و در ساغر است اشک
با دردمند عشق تو همخانه است آه
با آشنای چشم تو هم‌بستر است اشک
لب بسته‌ای ز گفتن راز نهان رهی
غافل که از زبان تو گویاتر است اشک"
نوای آسمانی آید از گلبانگ رود امشب,"نوای آسمانی آید از گلبانگ رود امشب
بیا ساقی که رفت از دل غم بود و نبود امشب
فراز چرخ نیلی ناله مستانه‌ای دارد
دل از بام فلک دیگر نمی‌آید فرود امشب
که بود آن آهوی وحشی چه بود آن سایه مژگان؟
که تاب از من ستاند امروز و خواب از من ربود امشب
به یاد غنچه خاموش او سر در گریبانم
ندارم با نسیم گل سر گفت و شنود امشب
ز بس بر تربت صائب عنان گریه سر دادم
رهی از چشمهٔ چشمم خجل شد زنده‌رود امشب"
نسیم عشق ز کوی هوس نمی‌آید,"نسیم عشق ز کوی هوس نمی‌آید
چرا که بوی گل از خار و خس نمی‌آید
ز نارسایی فریاد آتشین فریاد
که سوخت سینه و فریادرس نمی‌آید
به رهگذار طلب آبروی خویش مریز
که همچو اشک روان باز پس نمی‌آید
ز آشنایی مردم رمیده ایم رهی
که بوی مردمی از هیچ کس نمی‌آید"
