"Company Name","Industry/Sector","Company Website","Company Email","Company Phone","Company Phone 2","All Phone Numbers","City","Address","Company LinkedIn Page"
"Archroma","Technology","","","","","","","","https://www.linkedin.com/company/archroma"
"Allied Services International Private Limited","technology","http://www.asil.com.pk","bd@asil.com.pk","+92 300 0341312","+92 23 22779224","+92 300 0341312 | +92 23 22779224","Karachi","Karachi (Head Office) 6 Hilltop Arcade, 4D/2 Gizri Blvd Rd, D.H.A. Phase 4, Karachi, 75500 View on Maps Rawalpindi C73, opposite Bilal Hospital, Satellite Town Block C, Rawalpindi View on Maps Lahore 30, Sabzazar Block D, Sabzazar Housing Scheme Phase 1 & 2, Lahore, 54000 View on Maps Dubai : Boulevard Plaza, Downtown Dubai, UAE View on Maps Riyadh : Coming Soon Affiliate Offices: India | Bangladesh | Nepal | Sri Lanka | Uganda | Malawi Monday to","https://www.linkedin.com/company/asiljobs"
"Attock Cement Pakistan Limited","technology","http://www.attockcement.com","sales@attockcement.com","+92 21 111 171 717","+92 21 35309775","+92 21 111 171 717 | +92 21 35309775 | +92 08 53363569 | +92 21 111 920 853 | +92 321 2886234 | +92 21 35309961 | +92 21 3530996162 | +92 21 35309776 | +92 21 35309817 | +92 346 8288625 | +92 336 2886255 | +1 177-925-4701 | +1 177-926-4189 | +1 202-605-2117","","Copyright © 2026 Attock Cement Pakistan Limited (ACPL)","https://www.linkedin.com/company/attock-cement-pakistan-limited"
"Astara","Technology","","","","","","","","https://www.linkedin.com/company/astaramobility"
"Alkaram Studio","technology","https://www.alkaramstudio.com","nida.siddiqui@alkaramstudio.com","+92 88 281597431","+92 00 381043117","+92 88 281597431 | +92 00 381043117 | +92 60 423729811 | +92 312 2552726 | +92 317 8229857 | +92 48 7804878048 | +92 335 365853658 | +92 359 028189693","","Newsletter Sign up to our newsletter to receive exclusive offers. E-mail Subscribe CUSTOMER CARE Contact Us Feedback Survey Privacy Policy FAQ's Disclaimer Information About Us Shipping and Handling Store Locator Blogs Fabric Glossary About Alkaram Textile Mills began its journey in 1986 with a global vision: to craft world-class textiles driven by innovation, quality, and design. Over the years, it has grown to become one of Pakistan’s leading t","https://www.linkedin.com/company/alkaramstudio"
"AGP Limited","technology","https://agp.gov.pk","agp@agp.gov.pk","+92 51 9224080","+92 319 9999986","+92 51 9224080 | +92 319 9999986 | +92 61 755025112 | +92 17 75142532 | +92 17 67875176176","",", Google Map","https://www.linkedin.com/company/agplimited"
"Al Baraka Bank Pakistan Ltd.","technology","https://www.albaraka.com.pk","complaints@albaraka.com.pk","+92 51 2653592","","+92 51 2653592","","Mera Pakistan, Mera Ghar","https://www.linkedin.com/company/al-baraka-bank-pakistan"
"A. F. Ferguson & Co. (a member firm of the PwC network)","Technology","","","","","","","","https://www.linkedin.com/company/affco-pk"
"Albario Engineering (Pvt) Ltd.","technology","https://aepl.com.pk","info@aepl.com.pk","+92 42 111 001 954","+1 176-543-4533","+92 42 111 001 954 | +1 176-543-4533 | +1 177-924-1561 | +1 174-227-9906 | +1 174-227-9908","Lahore","Albario Engineering (Pvt) Ltd. was established in Lahore Pakistan and working as a one window solution provider in the fields of Energy, Industrial Solutions and Infrastructure.","https://www.linkedin.com/company/albarioengineeringpvtltd"
"Applyat","technology","https://applyat.io","info@applyat.io","+92 325 9787283","+92 51 8437547","+92 325 9787283 | +92 51 8437547","","","https://www.linkedin.com/company/applyat"
"Azentio","Technology","","","","","","","","https://www.linkedin.com/company/azentio"
"Akhuwat","technology","http://www.akhuwat.org.pk","info@akhuwat.org.pk","+92 42 111 448 464","+92 42 35122743","+92 42 111 448 464 | +92 42 35122743 | +042 111 448 464","","","https://www.linkedin.com/company/akhuwat"
"Al Meezan Investment Management Limited","technology","http://www.almeezangroup.com","info@almeezangroup.com","+92 08 0042525","+92 21 111 633 926","+92 08 0042525 | +92 21 111 633 926 | +92 300 1234567 | +92 333 1234567 | +92 20 2022346 | +92 02 137130847 | +1 177-911-1209 | +1 177-264-9957 | +1 174-646-3788 | +1 176-009-2156 | +1 174-249-1179 | +1 174-249-1182 | +1 928-004-2525","","Open your Roshan Digital Account with Al Meezan, an online facility for overseas Pakistanis & Residents to easily invest in Shariah-Compliant","https://www.linkedin.com/company/al-meezan-investment-management-limited"
"Agile HR Consulting","Technology","","","","","","","","https://www.linkedin.com/company/agilehrconsulting"
"AlGooru | القورو","Technology","","","","","","","","https://www.linkedin.com/company/algooru"
"Artistic Garment Industries (AGI Denim)","technology","https://lnkd.in/dHfUezta","info@lnkd.in","+92 45 2038134","","+92 45 2038134","","","https://www.linkedin.com/company/agi-denim"
"Atheneum","technology","https://www.atheneum.ai","info@atheneum.ai","+92 53 5267336","+92 54 0540540540","+92 53 5267336 | +92 54 0540540540 | +92 302 297460701 | +1 156-899-8155","","100 Victoria Street 5th Floor, Cardinal Place London, SW1E 5JL United Kingdom 320 W 37th Street 13th Floor New York, NY, 10018 United States District Berlin (Charlottenburg) HRB 128382 B USt.ID: DE273381474 Handelsregister Nr: HRB 128382B Managing directors (Geschäftsführer): Daniel McCarthy Modern Anti-Slavery Statement Privacy Policy Compliance Privacy Policy Notice","https://www.linkedin.com/company/atheneum-partners"
"AL Farah HR Group","Technology","","","","","","","","https://www.linkedin.com/company/al-farah-hr-group"
"Arpatech (Pvt) Ltd","technology","http://arpatech.com","info@arpatech.com","+92 21 35250741","+92 21 352507416","+92 21 35250741 | +92 21 352507416 | +92 42 5363425302 | +92 26 116632626 | +92 24 107672424 | +92 57 6646960764 | +1 503-506-4244 | +1 202-605-2112 | +1 807-418-1818 | +1 537-312-1212","Karachi","KHI: Plot# 195, Block A, SMCHS, 74400, Karachi. +9221352507416 ISB: 6th Floor, Amazon Outlet Mall, GT Road, Islamabad. +1 (503) 5064-244","https://www.linkedin.com/company/arpatech"
"Attock Refinery Limited","technology","https://www.arl.com.pk","info@arl.com.pk","+92 51 5487041","+92 51 5487093","+92 51 5487041 | +92 51 5487093 | +1 174-417-5978 | +1 174-417-6004","","Home Profile Vision, Mission & Core Values Management Departments Group Profile Milestones Corporate Profile Business Activities Company Status Company Registration Number National Tax Number Sales Tax Registration Number License for Operations LPG Production, Storage & Filling License Registered Office Address Contact Information Governance Board of Directors Board Committees Pattern of Shareholding Auditors of the Company Legal Advisor Investor","https://www.linkedin.com/company/attock-refinery-limited"
"Arif Habib Limited","technology","http://www.arifhabibltd.com","info@arifhabibltd.com","+92 21 38280282","+92 21 38280254","+92 21 38280282 | +92 21 38280254 | +92 21 38280291 | +92 21 38280289 | +92 41 8531010 | +92 21 32429653 | +92 42 38003311318 | +92 51 8004410 | +92 61 8000800 | +92 61 4514412 | +92 21 111 245 111 | +92 21 38280255 | +92 55 6113152061 | +92 59 91514801","Lahore","Nos. G-05 & G06, Ground floor, LSE Plaza 19, Khayaban-e-Aiwan-e-Iqbal, Lahore","https://www.linkedin.com/company/arif-habib-limited"
"Aisha Steel Mills Limited","technology","http://www.aishasteel.com","info@aishasteel.com","+92 21 32468313","+92 21 32468316","+92 21 32468313 | +92 21 32468316 | +92 21 32468317 | +92 21 32468319 | +92 21 32468322 | +92 21 32468320 | +92 42 35788973 | +92 42 35788974 | +92 42 36400246 | +92 61 4570232 | +92 61 4570233 | +92 51 5701044 | +1 199-999-9999","Karachi","**Address:** 1/F Arif Habib Center, 23 M.T. Khan Road, Karachi, Pakistan.","https://www.linkedin.com/company/aisha-steel-mills-limited"
"Al Rahim Textile Industries Ltd","technology","http://www.alrahimtextile.com","info@alrahimtextile.com","+92 21 111 110 120","+92 21 34533283","+92 21 111 110 120 | +92 21 34533283 | +92 54 5383582742","","Al-Rahim has direct access to best cotton growing areas of Pakistan giving a competitive cost advantage which is then coupled by continuous efforts towards enhancing efficiency in manufacturing to lower cost, and also the economies of scale- all added up and shared with our customers by way of competitive pricing. The vertical integration not only","https://www.linkedin.com/company/al-rahim-textile-industries"
"Ascenturi","technology","https://ascenturi.com","support@ascenturi.com","+92 92 08896208","+92 94 58896458","+92 92 08896208 | +92 94 58896458 | +92 320 7541096 | +1 174-673-7244 | +1 174-689-3106 | +1 174-829-1203 | +1 174-887-8534 | +1 174-673-7245 | +1 174-887-8662 | +1 174-829-0460","","","https://www.linkedin.com/company/ascenturi"
"Aspin Pharma Pvt. Ltd. (An OBS Group Company)","Technology","","","","","","","","https://www.linkedin.com/company/aspin-pharma-pvt-ltd"
"Agha Steel Industries","technology","https://aghasteel.com","info@aghasteel.com","+92 21 111 112 442","+1 177-937-2327","+92 21 111 112 442 | +1 177-937-2327 | +1 177-937-2174 | +1 177-937-2205 | +1 177-937-2231 | +1 177-937-2280 | +1 177-937-2308 | +1 177-937-2348 | +1 177-937-2365 | +1 177-937-2383 | +1 177-937-2395 | +1 177-937-2413","","Agha Steel Industries Limited (ASIL) is the fully automatic leading Steel Manufacturing Company in Pakistan with an annual Melting Capacity of 450,000 Metric Tons and annual Rolling Capacity of 250,000 Metric Tons. ASIL represents one of the largest private sector investments in the steel industry of Pakistan. ASIL is the fastest growing steel manu","https://www.linkedin.com/company/aghasteel"
"Ali Gohar & Company (Private) Limited","technology","http://www.aligohar.com","info@aligohar.com","+92 02 132414011","+92 02 132414186","+92 02 132414011 | +92 02 132414186 | +92 02 132417640 | +1 119-179-5430 | +92 37 111 2823 486 | +92 331 319999997 | +1 185-117-3724 | +1 161-061-2736 | +1 164-259-8820 | +1 138-433-8178 | +1 135-483-3810 | +1 205-032-2580 | +1 203-839-4511 | +1 182-511-7789 | +1 538-415-0685","Karachi","State Life Building 1-B, I.I.Chundrigar Road, Karachi – 74000, P.O.Box 5167","https://www.linkedin.com/company/ali-gohar-company-private-limited"
"Acme International","technology","http://www.acmeintl.org","info@acmeintl.org","+92 301 5214314","","+92 301 5214314","Islamabad","Feel Free to Drop Us A Line To Contact Us Submit Now Pakistan Office # 4, 2nd Floor Building # 4-A, Behind PSO Pump,F8 Markaz, Islamabad. (+92) 301 5214314 info@acmeintl.org www.acmeintl.org Business Hours Monday - Saturday - 09:00 - 05:00 Sunday - Holiday","https://www.linkedin.com/company/acme-training-and-consultancy"
"Azgard Nine Ltd","technology","http://www.azgard9.com","info@azgard9.com","+92 42 35761794","+92 42 35761791","+92 42 35761794 | +92 42 35761791 | +92 42 35384093 | +92 342 171296429 | +92 15 39592701528","Lahore","Lahore- 54600, Pakistan.","https://www.linkedin.com/company/azgard9-ltd"
"Artistic Milliners Careers","technology","http://www.artisticmilliners.com","info@artisticmilliners.com","+92 21 111 263 646","","+92 21 111 263 646","","","https://www.linkedin.com/company/artisticmillinerscareers"
"Alkhidmat Foundation Pakistan","technology","http://alkhidmat.org","info@alkhidmat.org","+92 42 38020222","+92 21 40100861151","+92 42 38020222 | +92 21 40100861151 | +92 368 882154465 | +92 307 69230769 | +92 17 71052408 | +92 43 9397672468 | +1 130-326-2327 | +1 623-323-2402","","- Leading Charity Organization in Pakistan","https://www.linkedin.com/company/alkhidmat-foundation-pakistan"
"AIMVIZ (Pvt) Ltd.","Technology","","","","","","","","https://www.linkedin.com/company/aimviz"
"Agency21 International","technology","https://www.agency21.com.pk","info@agency21.com.pk","+92 51 111 021 111","+1 165-839-9333","+92 51 111 021 111 | +1 165-839-9333 | +1 165-599-3188 | +1 165-588-3465 | +1 165-770-2604 | +1 165-770-2642 | +1 165-770-2654 | +1 165-770-2555 | +1 162-881-0270","Islamabad","Islamabad","https://www.linkedin.com/company/agency21pk"
"Avanceon Middle East & South Asia","technology","https://www.avanceon.ae","sales@avanceon.ae","+92 343 9740894986","+1 537-968-6097","+92 343 9740894986 | +1 537-968-6097 | +1 286-649-5185 | +1 780-211-4897 | +1 482-691-9217 | +1 490-821-5828 | +1 537-046-1094 | +1 489-548-1172 | +1 641-794-3543 | +1 542-142-5249 | +1 636-883-7150 | +1 753-248-0488 | +1 745-311-5884 | +1 201-487-8198","","","https://www.linkedin.com/company/avanceon-mea"
"Astral Pipes","technology","https://www.astralpipes.com","info@astralpipes.com","+92 52 24636538","+91-11-26168156","+92 52 24636538 | +91-11-26168156 | +91-7966212000 | +1 814-155-5555 | +91-80-26643868 | +91-44-43506384 | +91-40-27900023 | +91-0731-4946661 | +91-141-2974322 | +91-0484-404 60 50 | +91-79-66212121","","no. 716 & 717, 7th Floor, Mall of Jaipur, Plot no. 01, Kuber Complex, Khasra No-193&194/298, Main Gandhi Path, Vaishali Nagar, Jaipur - 302021, India.","https://www.linkedin.com/company/astralpipesofficial"
"Ahmed Foods (Private) Limited","technology","http://www.ahmedfood.com","info@ahmedfood.com","+92 305 391403130","+92 21 325635204","+92 305 391403130 | +92 21 325635204 | +92 21 32563520 | +1 176-589-8959 | +1 176-589-8975 | +1 176-847-5609 | +1 176-875-0414 | +1 176-589-8971 | +1 176-881-8744 | +1 176-875-0751 | +(021)325635204 | +1 176-935-0541","Karachi","AHMED HOUSE, D-112, AHMED AVENUE, S.I.T.E, KARACHI-75700, PAKISTAN","https://www.linkedin.com/company/ahmedfoods"
"Asian Consulting Engineers Pvt. Ltd.","technology","https://asiancon.com","info@asiancon.com","+92 42 35450914","+92 42 3545091415","+92 42 35450914 | +92 42 3545091415 | +92 331 3467700 | +92 57 314549498 | +92 57 012850000 | +92 58 122162373 | +1 177-365-8303 | +1 177-372-5365 | +1 177-372-4854 | +1 174-255-0962 | +1 174-255-0966 | +1 174-962-5433 | +1 174-962-5229 | +971 4575 0185 | +1 177-571-7713","Lahore","C-3 Jhelum Block, Green Forts II, Lahore","https://www.linkedin.com/company/asiancon"
